"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct","dynamic"
10,0,1,"ajabu","wonder",0.315165151515151,52,1,1,0,0
11,0,1,"duka","shop",0.294655384615385,24,1,2,0,0
5,0,1,"roho","soul",0.199686567164179,44,0,3,0,0
14,0,1,"kichwa","head",0.3271421875,46,1,4,0,0
4,0,1,"bibi","grandmother",0.175557575757576,34,0,5,0,0
2,0,1,"siri","secret",0.191309230769231,49,0,6,0,0
1,0,1,"pombe","beer",0.178725757575757,2,0,7,0,0
13,0,1,"likizo","holays",0.307474242424242,17,1,8,0,0
7,0,1,"dhoruba","storm",0.216794029850746,63,0,9,0,0
9,0,1,"barua","letter",0.319181818181818,31,1,10,0,0
5,1,1,"roho","soul",0.199686567164179,44,0,11,0,0
10,1,1,"ajabu","wonder",0.315165151515151,52,1,12,0,0
1,1,1,"pombe","beer",0.178725757575757,2,0,13,0,0
13,1,1,"likizo","holays",0.307474242424242,17,1,14,0,0
2,1,1,"siri","secret",0.191309230769231,49,0,15,0,0
7,1,1,"dhoruba","storm",0.216794029850746,63,0,16,0,0
9,1,1,"barua","letter",0.319181818181818,31,1,17,0,0
11,1,1,"duka","shop",0.294655384615385,24,1,18,0,0
14,1,1,"kichwa","head",0.3271421875,46,1,19,0,0
4,1,1,"bibi","grandmother",0.175557575757576,34,0,20,0,0
5,2,1,"roho","soul",0.199686567164179,44,0,21,0,0
11,2,1,"duka","shop",0.294655384615385,24,1,22,0,0
14,2,1,"kichwa","head",0.3271421875,46,1,23,0,0
7,2,1,"dhoruba","storm",0.216794029850746,63,0,24,0,0
13,2,1,"likizo","holays",0.307474242424242,17,1,25,0,0
2,2,1,"siri","secret",0.191309230769231,49,0,26,0,0
1,2,1,"pombe","beer",0.178725757575757,2,0,27,0,0
10,2,1,"ajabu","wonder",0.315165151515151,52,1,28,0,0
9,2,1,"barua","letter",0.319181818181818,31,1,29,0,0
4,2,1,"bibi","grandmother",0.175557575757576,34,0,30,0,0
10,3,1,"ajabu","wonder",0.315165151515151,52,1,31,0,0
9,3,1,"barua","letter",0.319181818181818,31,1,32,0,0
2,3,1,"siri","secret",0.191309230769231,49,0,33,0,0
14,3,1,"kichwa","head",0.3271421875,46,1,34,0,0
4,3,1,"bibi","grandmother",0.175557575757576,34,0,35,0,0
5,3,1,"roho","soul",0.199686567164179,44,0,36,0,0
11,3,1,"duka","shop",0.294655384615385,24,1,37,0,0
7,3,1,"dhoruba","storm",0.216794029850746,63,0,38,0,0
1,3,1,"pombe","beer",0.178725757575757,2,0,39,0,0
13,3,1,"likizo","holays",0.307474242424242,17,1,40,0,0
14,4,1,"kichwa","head",0.3271421875,46,1,41,0,0
2,4,1,"siri","secret",0.191309230769231,49,0,42,0,0
5,4,1,"roho","soul",0.199686567164179,44,0,43,0,0
11,4,1,"duka","shop",0.294655384615385,24,1,44,0,0
10,4,1,"ajabu","wonder",0.315165151515151,52,1,45,0,0
13,4,1,"likizo","holays",0.307474242424242,17,1,46,0,0
7,4,1,"dhoruba","storm",0.216794029850746,63,0,47,0,0
9,4,1,"barua","letter",0.319181818181818,31,1,48,0,0
4,4,1,"bibi","grandmother",0.175557575757576,34,0,49,0,0
1,4,1,"pombe","beer",0.178725757575757,2,0,50,0,0
14,5,1,"kichwa","head",0.3271421875,46,1,51,0,0
9,5,1,"barua","letter",0.319181818181818,31,1,52,0,0
13,5,1,"likizo","holays",0.307474242424242,17,1,53,0,0
5,5,1,"roho","soul",0.199686567164179,44,0,54,0,0
2,5,1,"siri","secret",0.191309230769231,49,0,55,0,0
4,5,1,"bibi","grandmother",0.175557575757576,34,0,56,0,0
10,5,1,"ajabu","wonder",0.315165151515151,52,1,57,0,0
11,5,1,"duka","shop",0.294655384615385,24,1,58,0,0
1,5,1,"pombe","beer",0.178725757575757,2,0,59,0,0
7,5,1,"dhoruba","storm",0.216794029850746,63,0,60,1,0
25,0,2,"chunga","pot",0.369626865671642,36,1,61,0,1
22,0,2,"kiti","chair",0.222518181818182,68,0,62,0,1
19,0,2,"ufu","death",0.170078787878788,75,0,63,0,1
18,0,2,"degaga","glasses",0.207071212121212,54,0,64,0,1
21,0,2,"jicho","eye",0.210024615384615,7,0,65,0,1
17,0,2,"skati","skirt",0.167559090909091,37,0,66,0,1
27,0,2,"chama","society",0.315827272727273,50,1,67,0,1
28,0,2,"sauti","voice",0.3337796875,14,1,68,0,1
29,0,2,"karamu","party",0.344718181818182,32,1,69,0,1
26,0,2,"tunda","fruit",0.287647692307692,22,1,70,0,1
26,1,2,"tunda","fruit",0.287647692307692,22,1,71,0,1
21,1,2,"jicho","eye",0.210024615384615,7,0,72,0,1
27,1,2,"chama","society",0.315827272727273,50,1,73,0,1
22,1,2,"kiti","chair",0.222518181818182,68,0,74,0,1
19,1,2,"ufu","death",0.170078787878788,75,0,75,0,1
29,1,2,"karamu","party",0.344718181818182,32,1,76,0,1
18,1,2,"degaga","glasses",0.207071212121212,54,0,77,0,1
17,1,2,"skati","skirt",0.167559090909091,37,0,78,0,1
28,1,2,"sauti","voice",0.3337796875,14,1,79,0,1
25,1,2,"chunga","pot",0.369626865671642,36,1,80,0,1
26,2,2,"tunda","fruit",0.287647692307692,22,1,81,0,1
22,2,2,"kiti","chair",0.222518181818182,68,0,82,0,1
28,2,2,"sauti","voice",0.3337796875,14,1,83,0,1
25,2,2,"chunga","pot",0.369626865671642,36,1,84,0,1
21,2,2,"jicho","eye",0.210024615384615,7,0,85,0,1
18,2,2,"degaga","glasses",0.207071212121212,54,0,86,0,1
19,2,2,"ufu","death",0.170078787878788,75,0,87,0,1
27,2,2,"chama","society",0.315827272727273,50,1,88,0,1
17,2,2,"skati","skirt",0.167559090909091,37,0,89,0,1
29,2,2,"karamu","party",0.344718181818182,32,1,90,0,1
29,3,2,"karamu","party",0.344718181818182,32,1,91,0,1
17,3,2,"skati","skirt",0.167559090909091,37,0,92,0,1
18,3,2,"degaga","glasses",0.207071212121212,54,0,93,0,1
22,3,2,"kiti","chair",0.222518181818182,68,0,94,0,1
25,3,2,"chunga","pot",0.369626865671642,36,1,95,0,1
21,3,2,"jicho","eye",0.210024615384615,7,0,96,0,1
28,3,2,"sauti","voice",0.3337796875,14,1,97,0,1
27,3,2,"chama","society",0.315827272727273,50,1,98,0,1
26,3,2,"tunda","fruit",0.287647692307692,22,1,99,0,1
19,3,2,"ufu","death",0.170078787878788,75,0,100,0,1
22,4,2,"kiti","chair",0.222518181818182,68,0,101,0,1
21,4,2,"jicho","eye",0.210024615384615,7,0,102,0,1
25,4,2,"chunga","pot",0.369626865671642,36,1,103,0,1
17,4,2,"skati","skirt",0.167559090909091,37,0,104,0,1
27,4,2,"chama","society",0.315827272727273,50,1,105,0,1
26,4,2,"tunda","fruit",0.287647692307692,22,1,106,0,1
28,4,2,"sauti","voice",0.3337796875,14,1,107,0,1
29,4,2,"karamu","party",0.344718181818182,32,1,108,0,1
18,4,2,"degaga","glasses",0.207071212121212,54,0,109,0,1
19,4,2,"ufu","death",0.170078787878788,75,0,110,0,1
27,5,2,"chama","society",0.315827272727273,50,1,111,0,1
25,5,2,"chunga","pot",0.369626865671642,36,1,112,0,1
18,5,2,"degaga","glasses",0.207071212121212,54,0,113,0,1
21,5,2,"jicho","eye",0.210024615384615,7,0,114,0,1
17,5,2,"skati","skirt",0.167559090909091,37,0,115,0,1
29,5,2,"karamu","party",0.344718181818182,32,1,116,0,1
28,5,2,"sauti","voice",0.3337796875,14,1,117,0,1
26,5,2,"tunda","fruit",0.287647692307692,22,1,118,0,1
22,5,2,"kiti","chair",0.222518181818182,68,0,119,0,1
19,5,2,"ufu","death",0.170078787878788,75,0,120,0,1
