"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct","dynamic"
1,0,1,"siri","secret",0.191309230769231,49,0,1,0,1
11,0,1,"chanjo","scissors",0.351680597014926,26,1,2,0,1
12,0,1,"duara","wheel",0.287497014925373,19,1,3,0,1
9,0,1,"fasihi","book",0.386646268656716,12,1,4,0,1
10,0,1,"ajabu","wonder",0.315165151515151,52,1,5,0,1
5,0,1,"ufu","death",0.170078787878788,75,0,6,0,1
6,0,1,"roho","soul",0.199686567164179,44,0,7,0,1
4,0,1,"saduku","box",0.212204615384615,73,0,8,0,1
8,0,1,"baskeli","bike",0.214457575757576,20,0,9,0,1
16,0,1,"tunda","fruit",0.287647692307692,22,1,10,0,1
9,1,1,"fasihi","book",0.386646268656716,12,1,11,0,1
10,1,1,"ajabu","wonder",0.315165151515151,52,1,12,0,1
12,1,1,"duara","wheel",0.287497014925373,19,1,13,0,1
16,1,1,"tunda","fruit",0.287647692307692,22,1,14,0,1
5,1,1,"ufu","death",0.170078787878788,75,0,15,0,1
4,1,1,"saduku","box",0.212204615384615,73,0,16,0,1
6,1,1,"roho","soul",0.199686567164179,44,0,17,0,1
11,1,1,"chanjo","scissors",0.351680597014926,26,1,18,0,1
1,1,1,"siri","secret",0.191309230769231,49,0,19,0,1
8,1,1,"baskeli","bike",0.214457575757576,20,0,20,0,1
12,2,1,"duara","wheel",0.287497014925373,19,1,21,0,1
8,2,1,"baskeli","bike",0.214457575757576,20,0,22,0,1
10,2,1,"ajabu","wonder",0.315165151515151,52,1,23,0,1
11,2,1,"chanjo","scissors",0.351680597014926,26,1,24,0,1
16,2,1,"tunda","fruit",0.287647692307692,22,1,25,0,1
9,2,1,"fasihi","book",0.386646268656716,12,1,26,0,1
1,2,1,"siri","secret",0.191309230769231,49,0,27,0,1
5,2,1,"ufu","death",0.170078787878788,75,0,28,0,1
6,2,1,"roho","soul",0.199686567164179,44,0,29,0,1
4,2,1,"saduku","box",0.212204615384615,73,0,30,0,1
5,3,1,"ufu","death",0.170078787878788,75,0,31,0,1
10,3,1,"ajabu","wonder",0.315165151515151,52,1,32,0,1
6,3,1,"roho","soul",0.199686567164179,44,0,33,0,1
