"ID","alpha","block","diff","dynamic","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","rep","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","Male","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"50","0.315827272727273","1","difficult","0","society","2965","1659","117865","Ok","5283","0","society","3594","978.5616501920007","chama","110416","110634","121491","116206","115210","110636","NA","116206","111615","111615","NA","1"
"61","0.158680303030303","1","easy","0","lemon","2965","1530","130841","Ok","3002","0","lemon","2878","762.7078677987201","limau","110416","124669","132314","129311","128315","124670","NA","129311","125435","125435","NA","2"
"68","0.222518181818182","1","easy","0","chair","2965","1211","140769","Ok","3723","0","chair","2132","919.627358019929","kiti","110416","135507","143282","139558","138562","135509","NA","139558","136429","136429","NA","3"
"35","0.275992424242424","1","difficult","0","doctor","2965","1331","150849","Ok","2235","0","doctor","1342","701.8130817127778","tabibu","110416","146475","151754","149518","148522","146477","NA","149518","147179","147179","NA","4"
"11","0.183198461538461","1","easy","0","chicken","2965","1259","159121","Ok","3971","0","chicken","1534","401.27810162170215","kuku","110416","154928","161834","157862","156866","154929","NA","157862","155331","155331","NA","5"
"69","0.368722388059701","1","difficult","0","bed","2965","915","168785","Ok","1675","0","bed","1281","578.9674210889955","kitanda","110416","165010","169546","167870","166874","165012","NA","167870","165592","165592","NA","6"
"12","0.386646268656716","1","difficult","0","book","2965","835","176793","Ok","1931","0","book","1684","552.8648912879128","fasihi","110416","172720","177891","175958","174962","172722","NA","175958","173277","173277","NA","7"
"45","0.219891044776119","1","easy","0","door","2965","843","185377","Ok","1483","0","door","1469","986.7269357140012","lango","110416","181078","186018","184534","183538","181080","NA","184534","182068","182068","NA","8"
"19","0.287497014925373","1","difficult","0","wheel","2965","929","193417","Ok","2001","0","wheel","1560","735.4143033933137","duara","110416","189191","194490","192488","191490","189193","NA","192488","189929","189929","NA","9"
"44","0.199686567164179","1","easy","0","soul","2965","1057","202753","Ok","1880","0","soul","2162","866.3222067044519","roho","110416","197666","203578","201696","200698","197668","NA","201696","198535","198535","NA","10"
"12","0.386646268656716","1","difficult","0","book","2965","1007","210681","Ok","1638","1","door","2307","596.5018765806012","fasihi","110416","206766","203578","209674","200698","206768","211314","209674","207365","198535","207365","11"
"68","0.222518181818182","1","easy","0","chair","2965","830","219889","Ok","1653","1","chair","3656","901.5052839817545","kiti","110416","214497","220715","219059","200698","214499","211314","219059","215401","198535","215401","12"
"35","0.275992424242424","1","difficult","0","doctor","2965","1279","226545","Ok","2414","1","doctor","882","483.5282733360041","tabibu","110416","223897","227682","225266","200698","223899","211314","225266","224383","198535","224383","13"
"50","0.315827272727273","1","difficult","0","society","2965","854","234288","Ok","1622","1","soul","2160","406.0119426500453","chama","110416","230864","227682","233434","200698","230866","235058","233434","231273","198535","231273","14"
"19","0.287497014925373","1","difficult","0","wheel","2965","733","241648","Ok","1557","1","soul","1784","874.1908344588325","duara","110416","238251","227682","240915","200698","238253","242474","240915","239128","198535","239128","15"
"69","0.368722388059701","1","difficult","0","bed","2965","1134","248408","Ok","1702","1","bed","939","663.531526704151","kitanda","110416","245667","248978","247274","200698","245669","242474","247274","246333","198535","246333","16"
"44","0.199686567164179","1","easy","0","soul","2965","806","257224","Ok","1630","1","soul","3785","472.90632576060983","roho","110416","252156","258050","256418","200698","252158","242474","256418","252631","198535","252631","17"
"45","0.219891044776119","1","easy","0","door","2965","1110","266768","Ok","2550","1","language","3607","819.8374724143916","lango","110416","261227","258050","265658","200698","261229","268210","265658","262049","198535","262049","18"
"11","0.183198461538461","1","easy","0","chicken","2965","926","273616","Ok","2207","1","chicken","852","431.0283365980538","kuku","110416","271402","274898","272690","200698","271404","268210","272690","271836","198535","271836","19"
"61","0.158680303030303","1","easy","0","lemon","2965","766","281152","Ok","1630","1","lemon","1748","538.18228453259","limau","110416","278095","282018","280386","200698","278097","268210","280386","278636","198535","278636","20"
"61","0.158680303030303","1","easy","0","lemon","2965","742","287472","Ok","1726","2","lemon","1071","463.2057916766788","limau","110416","285192","288458","286730","200698","285193","268210","286730","285657","198535","285657","21"
"69","0.368722388059701","1","difficult","0","bed","2965","766","294224","Ok","1390","2","bed","887","930.7435589940695","kitanda","110416","291637","294850","293458","200698","291638","268210","293458","292569","198535","292569","22"
"19","0.287497014925373","1","difficult","0","wheel","2965","798","302912","Ok","1582","2","wheel","3505","572.4606743629963","duara","110416","298031","303698","302114","200698","298032","268210","302114","298607","198535","298607","23"
"12","0.386646268656716","1","difficult","0","book","2965","670","310096","Ok","1478","2","book","1675","857.9912691959225","fasihi","110416","306889","310906","309426","200698","306891","268210","309426","307749","198535","307749","24"
"44","0.199686567164179","1","easy","0","soul","2965","726","316520","Ok","1494","2","soul","966","727.3443130502569","roho","110416","314096","317290","315794","200698","314098","268210","315794","314826","198535","314826","25"
"11","0.183198461538461","1","easy","0","chicken","2965","942","323056","Ok","1998","2","chicken","896","732.9785387433453","kuku","110416","320479","324114","322114","200698","320481","268210","322114","321216","198535","321216","26"
"50","0.315827272727273","1","difficult","0","society","2965","1694","336312","Ok","2294","2","doo","6796","513.226744557263","chama","110416","327304","324114","334618","200698","327305","336914","334618","327820","198535","327820","27"
"35","0.275992424242424","1","difficult","0","doctor","2965","1766","344152","Ok","3254","2","doctor","1493","774.3861208885382","tabibu","110416","340114","345642","342386","200698","340116","336914","342386","340891","198535","340891","28"
"68","0.222518181818182","1","easy","0","chair","2965","693","355112","Ok","1557","2","chair","4767","830.2881857582107","kiti","110416","348817","355978","354419","200698","348818","336914","354419","349649","198535","349649","29"
"45","0.219891044776119","1","easy","0","door","2965","710","362600","Ok","1278","2","door","1795","918.0577114239906","lango","110416","359172","363170","361890","200698","359174","336914","361890","360093","198535","360093","30"
"19","0.287497014925373","1","difficult","0","wheel","2965","1366","370592","Ok","2550","3","wheel","2290","565.835760915551","duara","110416","366365","371778","369226","200698","366366","336914","369226","366934","198535","366934","31"
"50","0.315827272727273","1","difficult","0","society","2965","614","378504","Ok","2022","3","society","2046","869.8455668570843","chama","110416","374970","379914","377890","200698","374972","336914","377890","375842","198535","375842","32"
"11","0.183198461538461","1","easy","0","chicken","2965","1478","385880","Ok","4342","3","chicken","859","451.56728588549555","kuku","110416","383088","388746","384402","200698","383089","336914","384402","383541","198535","383541","33"
