item_rand,rep,block,swahili,english,alpha,ID,diff,trial,instruct,exposure,dynamic
9,0,1,karamu,party,0.344718182,32,difficult,1,0,3000,0
7,0,1,bibi,grandmother,0.175557576,34,easy,2,0,3000,0
4,0,1,roho,soul,0.199686567,44,easy,3,0,3000,0
14,0,1,kanisa,church,0.39958806,51,difficult,4,0,3000,0
16,0,1,chama,society,0.315827273,50,difficult,5,0,3000,0
8,0,1,anga,sky,0.222377273,27,easy,6,0,3000,0
5,0,1,skati,skirt,0.167559091,37,easy,7,0,3000,0
11,0,1,kijana,boy,0.353060606,64,difficult,8,0,3000,0
13,0,1,maslahi,interest,0.305624242,56,difficult,9,0,3000,0
3,0,1,siri,secret,0.191309231,49,easy,10,0,3000,0
9,1,1,karamu,party,0.344718182,32,difficult,11,0,3000,0
16,1,1,chama,society,0.315827273,50,difficult,12,0,3000,0
13,1,1,maslahi,interest,0.305624242,56,difficult,13,0,3000,0
5,1,1,skati,skirt,0.167559091,37,easy,14,0,3000,0
8,1,1,anga,sky,0.222377273,27,easy,15,0,3000,0
7,1,1,bibi,grandmother,0.175557576,34,easy,16,0,3000,0
4,1,1,roho,soul,0.199686567,44,easy,17,0,3000,0
14,1,1,kanisa,church,0.39958806,51,difficult,18,0,3000,0
11,1,1,kijana,boy,0.353060606,64,difficult,19,0,3000,0
3,1,1,siri,secret,0.191309231,49,easy,20,0,3000,0
9,2,1,karamu,party,0.344718182,32,difficult,21,0,3000,0
7,2,1,bibi,grandmother,0.175557576,34,easy,22,0,3000,0
14,2,1,kanisa,church,0.39958806,51,difficult,23,0,3000,0
11,2,1,kijana,boy,0.353060606,64,difficult,24,0,3000,0
16,2,1,chama,society,0.315827273,50,difficult,25,0,3000,0
5,2,1,skati,skirt,0.167559091,37,easy,26,0,3000,0
13,2,1,maslahi,interest,0.305624242,56,difficult,27,0,3000,0
3,2,1,siri,secret,0.191309231,49,easy,28,0,3000,0
8,2,1,anga,sky,0.222377273,27,easy,29,0,3000,0
4,2,1,roho,soul,0.199686567,44,easy,30,0,3000,0
16,3,1,chama,society,0.315827273,50,difficult,31,0,3000,0
11,3,1,kijana,boy,0.353060606,64,difficult,32,0,3000,0
8,3,1,anga,sky,0.222377273,27,easy,33,0,3000,0
14,3,1,kanisa,church,0.39958806,51,difficult,34,0,3000,0
4,3,1,roho,soul,0.199686567,44,easy,35,0,3000,0
7,3,1,bibi,grandmother,0.175557576,34,easy,36,0,3000,0
9,3,1,karamu,party,0.344718182,32,difficult,37,0,3000,0
13,3,1,maslahi,interest,0.305624242,56,difficult,38,0,3000,0
5,3,1,skati,skirt,0.167559091,37,easy,39,0,3000,0
3,3,1,siri,secret,0.191309231,49,easy,40,0,3000,0
4,4,1,roho,soul,0.199686567,44,easy,41,0,3000,0
7,4,1,bibi,grandmother,0.175557576,34,easy,42,0,3000,0
3,4,1,siri,secret,0.191309231,49,easy,43,0,3000,0
5,4,1,skati,skirt,0.167559091,37,easy,44,0,3000,0
13,4,1,maslahi,interest,0.305624242,56,difficult,45,0,3000,0
16,4,1,chama,society,0.315827273,50,difficult,46,0,3000,0
9,4,1,karamu,party,0.344718182,32,difficult,47,0,3000,0
11,4,1,kijana,boy,0.353060606,64,difficult,48,0,3000,0
8,4,1,anga,sky,0.222377273,27,easy,49,0,3000,0
14,4,1,kanisa,church,0.39958806,51,difficult,50,0,3000,0
8,5,1,anga,sky,0.222377273,27,easy,51,0,3000,0
16,5,1,chama,society,0.315827273,50,difficult,52,0,3000,0
5,5,1,skati,skirt,0.167559091,37,easy,53,0,3000,0
7,5,1,bibi,grandmother,0.175557576,34,easy,54,0,3000,0
9,5,1,karamu,party,0.344718182,32,difficult,55,0,3000,0
11,5,1,kijana,boy,0.353060606,64,difficult,56,0,3000,0
4,5,1,roho,soul,0.199686567,44,easy,57,0,3000,0
14,5,1,kanisa,church,0.39958806,51,difficult,58,0,3000,0
3,5,1,siri,secret,0.191309231,49,easy,59,0,3000,0
13,5,1,maslahi,interest,0.305624242,56,difficult,60,1,3000,0
28,0,2,wimbo,song,0.307741538,13,difficult,61,0,3000,1
29,0,2,chanjo,scissors,0.351680597,26,difficult,62,0,3000,1
20,0,2,adhama,honor,0.225168182,33,easy,63,0,3000,1
18,0,2,dhoruba,storm,0.21679403,63,easy,64,0,3000,1
30,0,2,kichwa,head,0.327142188,46,difficult,65,0,3000,1
21,0,2,lango,door,0.219891045,45,easy,66,0,3000,1
24,0,2,pombe,beer,0.178725758,2,easy,67,0,3000,1
27,0,2,kitanda,bed,0.368722388,69,difficult,68,0,3000,1
26,0,2,tabibu,doctor,0.275992424,35,difficult,69,0,3000,1
19,0,2,tofaa,apple,0.20078806,67,easy,70,0,3000,1
18,1,2,dhoruba,storm,0.21679403,63,easy,71,0,3000,1
21,1,2,lango,door,0.219891045,45,easy,72,0,3000,1
28,1,2,wimbo,song,0.307741538,13,difficult,73,0,3000,1
24,1,2,pombe,beer,0.178725758,2,easy,74,0,3000,1
30,1,2,kichwa,head,0.327142188,46,difficult,75,0,3000,1
29,1,2,chanjo,scissors,0.351680597,26,difficult,76,0,3000,1
20,1,2,adhama,honor,0.225168182,33,easy,77,0,3000,1
27,1,2,kitanda,bed,0.368722388,69,difficult,78,0,3000,1
19,1,2,tofaa,apple,0.20078806,67,easy,79,0,3000,1
26,1,2,tabibu,doctor,0.275992424,35,difficult,80,0,3000,1
29,2,2,chanjo,scissors,0.351680597,26,difficult,81,0,3000,1
26,2,2,tabibu,doctor,0.275992424,35,difficult,82,0,3000,1
19,2,2,tofaa,apple,0.20078806,67,easy,83,0,3000,1
28,2,2,wimbo,song,0.307741538,13,difficult,84,0,3000,1
20,2,2,adhama,honor,0.225168182,33,easy,85,0,3000,1
