item_rand,rep,block,swahili,english,alpha,ID,diff,trial,instruct,dynamic
15,0,1,askari,police,0.347927272727273,9,difficult,1,0,0
12,0,1,tumaini,hope,0.302354545454546,53,difficult,2,0,0
8,0,1,lango,door,0.219891044776119,45,easy,3,0,0
5,0,1,skati,skirt,0.167559090909091,37,easy,4,0,0
7,0,1,dhoruba,storm,0.216794029850746,63,easy,5,0,0
11,0,1,maslahi,interest,0.305624242424242,56,difficult,6,0,0
14,0,1,chanjo,scissors,0.351680597014926,26,difficult,7,0,0
13,0,1,kamba,rope,0.355907575757576,62,difficult,8,0,0
4,0,1,degaga,glasses,0.207071212121212,54,easy,9,0,0
6,0,1,tofaa,apple,0.200788059701493,67,easy,10,0,0
13,1,1,kamba,rope,0.355907575757576,62,difficult,11,0,0
12,1,1,tumaini,hope,0.302354545454546,53,difficult,12,0,0
8,1,1,lango,door,0.219891044776119,45,easy,13,0,0
15,1,1,askari,police,0.347927272727273,9,difficult,14,0,0
4,1,1,degaga,glasses,0.207071212121212,54,easy,15,0,0
11,1,1,maslahi,interest,0.305624242424242,56,difficult,16,0,0
7,1,1,dhoruba,storm,0.216794029850746,63,easy,17,0,0
5,1,1,skati,skirt,0.167559090909091,37,easy,18,0,0
6,1,1,tofaa,apple,0.200788059701493,67,easy,19,0,0
14,1,1,chanjo,scissors,0.351680597014926,26,difficult,20,0,0
11,2,1,maslahi,interest,0.305624242424242,56,difficult,21,0,0
8,2,1,lango,door,0.219891044776119,45,easy,22,0,0
4,2,1,degaga,glasses,0.207071212121212,54,easy,23,0,0
6,2,1,tofaa,apple,0.200788059701493,67,easy,24,0,0
5,2,1,skati,skirt,0.167559090909091,37,easy,25,0,0
13,2,1,kamba,rope,0.355907575757576,62,difficult,26,0,0
14,2,1,chanjo,scissors,0.351680597014926,26,difficult,27,0,0
7,2,1,dhoruba,storm,0.216794029850746,63,easy,28,0,0
15,2,1,askari,police,0.347927272727273,9,difficult,29,0,0
12,2,1,tumaini,hope,0.302354545454546,53,difficult,30,0,0
4,3,1,degaga,glasses,0.207071212121212,54,easy,31,0,0
5,3,1,skati,skirt,0.167559090909091,37,easy,32,0,0
8,3,1,lango,door,0.219891044776119,45,easy,33,0,0
13,3,1,kamba,rope,0.355907575757576,62,difficult,34,0,0
15,3,1,askari,police,0.347927272727273,9,difficult,35,0,0
12,3,1,tumaini,hope,0.302354545454546,53,difficult,36,0,0
14,3,1,chanjo,scissors,0.351680597014926,26,difficult,37,0,0
6,3,1,tofaa,apple,0.200788059701493,67,easy,38,0,0
7,3,1,dhoruba,storm,0.216794029850746,63,easy,39,0,0
11,3,1,maslahi,interest,0.305624242424242,56,difficult,40,0,0
13,4,1,kamba,rope,0.355907575757576,62,difficult,41,0,0
4,4,1,degaga,glasses,0.207071212121212,54,easy,42,0,0
15,4,1,askari,police,0.347927272727273,9,difficult,43,0,0
14,4,1,chanjo,scissors,0.351680597014926,26,difficult,44,0,0
6,4,1,tofaa,apple,0.200788059701493,67,easy,45,0,0
11,4,1,maslahi,interest,0.305624242424242,56,difficult,46,0,0
7,4,1,dhoruba,storm,0.216794029850746,63,easy,47,0,0
12,4,1,tumaini,hope,0.302354545454546,53,difficult,48,0,0
5,4,1,skati,skirt,0.167559090909091,37,easy,49,0,0
8,4,1,lango,door,0.219891044776119,45,easy,50,0,0
13,5,1,kamba,rope,0.355907575757576,62,difficult,51,0,0
7,5,1,dhoruba,storm,0.216794029850746,63,easy,52,0,0
5,5,1,skati,skirt,0.167559090909091,37,easy,53,0,0
15,5,1,askari,police,0.347927272727273,9,difficult,54,0,0
6,5,1,tofaa,apple,0.200788059701493,67,easy,55,0,0
8,5,1,lango,door,0.219891044776119,45,easy,56,0,0
11,5,1,maslahi,interest,0.305624242424242,56,difficult,57,0,0
14,5,1,chanjo,scissors,0.351680597014926,26,difficult,58,0,0
4,5,1,degaga,glasses,0.207071212121212,54,easy,59,0,0
12,5,1,tumaini,hope,0.302354545454546,53,difficult,60,1,0
22,0,2,bibi,grandmother,0.175557575757576,34,easy,61,0,1
31,0,2,fasihi,book,0.386646268656716,12,difficult,62,0,1
23,0,2,anga,sky,0.222377272727273,27,easy,63,0,1
28,0,2,likizo,holays,0.307474242424242,17,difficult,64,0,1
20,0,2,maji,ice,0.223059090909091,72,easy,65,0,1
21,0,2,limau,lemon,0.158680303030303,61,easy,66,0,1
32,0,2,afisi,office,0.34374,5,difficult,67,0,1
26,0,2,duara,wheel,0.287497014925373,19,difficult,68,0,1
25,0,2,wimbo,song,0.307741538461538,13,difficult,69,0,1
18,0,2,baskeli,bike,0.214457575757576,20,easy,70,0,1
18,1,2,baskeli,bike,0.214457575757576,20,easy,71,0,1
32,1,2,afisi,office,0.34374,5,difficult,72,0,1
22,1,2,bibi,grandmother,0.175557575757576,34,easy,73,0,1
31,1,2,fasihi,book,0.386646268656716,12,difficult,74,0,1
20,1,2,maji,ice,0.223059090909091,72,easy,75,0,1
23,1,2,anga,sky,0.222377272727273,27,easy,76,0,1
21,1,2,limau,lemon,0.158680303030303,61,easy,77,0,1
25,1,2,wimbo,song,0.307741538461538,13,difficult,78,0,1
28,1,2,likizo,holays,0.307474242424242,17,difficult,79,0,1
26,1,2,duara,wheel,0.287497014925373,19,difficult,80,0,1
