"item_rand","rep","block","swahili","english","alpha","ID","diff","trial","instruct"
12,0,1,"barua","letter",0.319181818181818,"31","difficult",1,0
3,0,1,"baskeli","bike",0.214457575757576,"20","easy",2,0
9,0,1,"tumaini","hope",0.302354545454546,"53","difficult",3,0
16,0,1,"chunga","pot",0.369626865671642,"36","difficult",4,0
8,0,1,"anga","sky",0.222377272727273,"27","easy",5,0
15,0,1,"duka","shop",0.294655384615385,"24","difficult",6,0
5,0,1,"skati","skirt",0.167559090909091,"37","easy",7,0
1,0,1,"bibi","grandmother",0.175557575757576,"34","easy",8,0
10,0,1,"tunda","fruit",0.287647692307692,"22","difficult",9,0
6,0,1,"ufu","death",0.170078787878788,"75","easy",10,0
13,0,1,"samaki","fish",0.294386567164179,"3","difficult",11,0
7,0,1,"jicho","eye",0.210024615384615,"7","easy",12,0
4,0,1,"saduku","box",0.212204615384615,"73","easy",13,0
11,0,1,"kamba","rope",0.355907575757576,"62","difficult",14,0
14,0,1,"duara","wheel",0.287497014925373,"19","difficult",15,0
2,0,1,"maji","ice",0.223059090909091,"72","easy",16,0
1,1,1,"bibi","grandmother",0.175557575757576,"34","easy",17,0
16,1,1,"chunga","pot",0.369626865671642,"36","difficult",18,0
5,1,1,"skati","skirt",0.167559090909091,"37","easy",19,0
3,1,1,"baskeli","bike",0.214457575757576,"20","easy",20,0
15,1,1,"duka","shop",0.294655384615385,"24","difficult",21,0
12,1,1,"barua","letter",0.319181818181818,"31","difficult",22,0
9,1,1,"tumaini","hope",0.302354545454546,"53","difficult",23,0
7,1,1,"jicho","eye",0.210024615384615,"7","easy",24,0
11,1,1,"kamba","rope",0.355907575757576,"62","difficult",25,0
4,1,1,"saduku","box",0.212204615384615,"73","easy",26,0
14,1,1,"duara","wheel",0.287497014925373,"19","difficult",27,0
2,1,1,"maji","ice",0.223059090909091,"72","easy",28,0
13,1,1,"samaki","fish",0.294386567164179,"3","difficult",29,0
10,1,1,"tunda","fruit",0.287647692307692,"22","difficult",30,0
8,1,1,"anga","sky",0.222377272727273,"27","easy",31,0
6,1,1,"ufu","death",0.170078787878788,"75","easy",32,0
7,2,1,"jicho","eye",0.210024615384615,"7","easy",33,0
1,2,1,"bibi","grandmother",0.175557575757576,"34","easy",34,0
9,2,1,"tumaini","hope",0.302354545454546,"53","difficult",35,0
4,2,1,"saduku","box",0.212204615384615,"73","easy",36,0
5,2,1,"skati","skirt",0.167559090909091,"37","easy",37,0
16,2,1,"chunga","pot",0.369626865671642,"36","difficult",38,0
12,2,1,"barua","letter",0.319181818181818,"31","difficult",39,0
2,2,1,"maji","ice",0.223059090909091,"72","easy",40,0
14,2,1,"duara","wheel",0.287497014925373,"19","difficult",41,0
15,2,1,"duka","shop",0.294655384615385,"24","difficult",42,0
6,2,1,"ufu","death",0.170078787878788,"75","easy",43,0
3,2,1,"baskeli","bike",0.214457575757576,"20","easy",44,0
13,2,1,"samaki","fish",0.294386567164179,"3","difficult",45,0
10,2,1,"tunda","fruit",0.287647692307692,"22","difficult",46,0
8,2,1,"anga","sky",0.222377272727273,"27","easy",47,0
11,2,1,"kamba","rope",0.355907575757576,"62","difficult",48,0
16,3,1,"chunga","pot",0.369626865671642,"36","difficult",49,0
14,3,1,"duara","wheel",0.287497014925373,"19","difficult",50,0
15,3,1,"duka","shop",0.294655384615385,"24","difficult",51,0
1,3,1,"bibi","grandmother",0.175557575757576,"34","easy",52,0
7,3,1,"jicho","eye",0.210024615384615,"7","easy",53,0
10,3,1,"tunda","fruit",0.287647692307692,"22","difficult",54,0
8,3,1,"anga","sky",0.222377272727273,"27","easy",55,0
9,3,1,"tumaini","hope",0.302354545454546,"53","difficult",56,0
13,3,1,"samaki","fish",0.294386567164179,"3","difficult",57,0
2,3,1,"maji","ice",0.223059090909091,"72","easy",58,0
5,3,1,"skati","skirt",0.167559090909091,"37","easy",59,0
12,3,1,"barua","letter",0.319181818181818,"31","difficult",60,0
6,3,1,"ufu","death",0.170078787878788,"75","easy",61,0
11,3,1,"kamba","rope",0.355907575757576,"62","difficult",62,0
3,3,1,"baskeli","bike",0.214457575757576,"20","easy",63,0
4,3,1,"saduku","box",0.212204615384615,"73","easy",64,0
14,4,1,"duara","wheel",0.287497014925373,"19","difficult",65,0
2,4,1,"maji","ice",0.223059090909091,"72","easy",66,0
7,4,1,"jicho","eye",0.210024615384615,"7","easy",67,0
13,4,1,"samaki","fish",0.294386567164179,"3","difficult",68,0
15,4,1,"duka","shop",0.294655384615385,"24","difficult",69,0
6,4,1,"ufu","death",0.170078787878788,"75","easy",70,0
5,4,1,"skati","skirt",0.167559090909091,"37","easy",71,0
12,4,1,"barua","letter",0.319181818181818,"31","difficult",72,0
10,4,1,"tunda","fruit",0.287647692307692,"22","difficult",73,0
3,4,1,"baskeli","bike",0.214457575757576,"20","easy",74,0
16,4,1,"chunga","pot",0.369626865671642,"36","difficult",75,0
1,4,1,"bibi","grandmother",0.175557575757576,"34","easy",76,0
11,4,1,"kamba","rope",0.355907575757576,"62","difficult",77,0
9,4,1,"tumaini","hope",0.302354545454546,"53","difficult",78,0
8,4,1,"anga","sky",0.222377272727273,"27","easy",79,0
4,4,1,"saduku","box",0.212204615384615,"73","easy",80,0
