item_rand,rep,block,swahili,english,alpha,ID,diff,trial,instruct,dynamic
13,0,1,maslahi,interest,0.305624242,56,difficult,1,0,0
16,0,1,chama,society,0.315827273,50,difficult,2,0,0
3,0,1,siri,secret,0.191309231,49,easy,3,0,0
7,0,1,bibi,grandmother,0.175557576,34,easy,4,0,0
16,1,1,chama,society,0.315827273,50,difficult,5,0,0
7,1,1,bibi,grandmother,0.175557576,34,easy,6,0,0
3,1,1,siri,secret,0.191309231,49,easy,7,0,0
13,1,1,maslahi,interest,0.305624242,56,difficult,8,0,0
7,2,1,bibi,grandmother,0.175557576,34,easy,9,0,0
13,2,1,maslahi,interest,0.305624242,56,difficult,10,0,0
3,2,1,siri,secret,0.191309231,49,easy,11,0,0
16,2,1,chama,society,0.315827273,50,difficult,12,0,0
7,3,1,bibi,grandmother,0.175557576,34,easy,13,0,0
3,3,1,siri,secret,0.191309231,49,easy,14,0,0
13,3,1,maslahi,interest,0.305624242,56,difficult,15,0,0
16,3,1,chama,society,0.315827273,50,difficult,16,0,0
3,4,1,siri,secret,0.191309231,49,easy,17,0,0
7,4,1,bibi,grandmother,0.175557576,34,easy,18,0,0
16,4,1,chama,society,0.315827273,50,difficult,19,0,0
13,4,1,maslahi,interest,0.305624242,56,difficult,20,0,0
3,5,1,siri,secret,0.191309231,49,easy,21,0,0
7,5,1,bibi,grandmother,0.175557576,34,easy,22,0,0
13,5,1,maslahi,interest,0.305624242,56,difficult,23,0,0
16,5,1,chama,society,0.315827273,50,difficult,24,1,0
5,0,2,skati,skirt,0.167559091,37,easy,25,0,1
14,0,2,kanisa,church,0.39958806,51,difficult,26,0,1
9,0,2,karamu,party,0.344718182,32,difficult,27,0,1
4,0,2,roho,soul,0.199686567,44,easy,28,0,1
9,1,2,karamu,party,0.344718182,32,difficult,29,0,1
4,1,2,roho,soul,0.199686567,44,easy,30,0,1
14,1,2,kanisa,church,0.39958806,51,difficult,31,0,1
5,1,2,skati,skirt,0.167559091,37,easy,32,0,1
9,2,2,karamu,party,0.344718182,32,difficult,33,0,1
4,2,2,roho,soul,0.199686567,44,easy,34,0,1
14,2,2,kanisa,church,0.39958806,51,difficult,35,0,1
5,2,2,skati,skirt,0.167559091,37,easy,36,0,1
14,3,2,kanisa,church,0.39958806,51,difficult,37,0,1
9,3,2,karamu,party,0.344718182,32,difficult,38,0,1
5,3,2,skati,skirt,0.167559091,37,easy,39,0,1
4,3,2,roho,soul,0.199686567,44,easy,40,0,1
5,4,2,skati,skirt,0.167559091,37,easy,41,0,1
14,4,2,kanisa,church,0.39958806,51,difficult,42,0,1
9,4,2,karamu,party,0.344718182,32,difficult,43,0,1
4,4,2,roho,soul,0.199686567,44,easy,44,0,1
5,5,2,skati,skirt,0.167559091,37,easy,45,0,1
14,5,2,kanisa,church,0.39958806,51,difficult,46,0,1
4,5,2,roho,soul,0.199686567,44,easy,47,0,1
9,5,2,karamu,party,0.344718182,32,difficult,48,0,1
